F0,F0ÉåÉìÉW,âπà≥ÉåÉxÉã,î≠òbéûä‘,ä¥èÓ,emotion,î≠ê∫é“
23.77587804,100,74.02,1.2,1,1äÏ,1
31.13522901,67.14,72.49,0.89,1,1äÏ,2
4.029043259,152.34,77.09,1.26,1,1äÏ,3
97.36263714,255.26,75.9,1.26,1,1äÏ,4
-47.82832055,90.13,67.34,0.98,1,1äÏ,5
20.4651316,121.76,76.23,1.16,1,1äÏ,6
84.62816016,243,75.44,1.21,1,1äÏ,7
15.44821224,69.29,76.24,1.04,1,1äÏ,8
35.94220375,128.42,76.42,0.82,1,1äÏ,9
33.1065375,140.12,74.3,1.18,1,1äÏ,10
-8.094410671,123.71,67.66,0.75,1,1äÏ,11
1.594824575,37.69,69.22,0.95,1,1äÏ,12
16.26419825,198.68,73.58,0.99,1,1äÏ,13
34.39364888,231,76.74,0.96,1,1äÏ,14
-33.70099134,55,71.02,1.2,1,1äÏ,15
67.42484655,173.86,75.9,1,1,1äÏ,16
42.66981631,85.42,77.25,1.1,2,2îﬂ,17
-75.27149121,56.73,71.39,1.1,2,2îﬂ,1
-28.57101711,34.45,70.52,0.96,2,2îﬂ,2
-84.9759628,14.56,75.34,1.4,2,2îﬂ,3
-75.45395161,132.45,70.18,1.26,2,2îﬂ,4
-77.04845947,38.69,70.21,1.01,2,2îﬂ,5
-80.67531969,121,76.07,1.36,2,2îﬂ,6
-57.65250385,69,74.92,1.15,2,2îﬂ,7
-12.99847529,82.23,68.35,1.44,2,2îﬂ,8
-27.68890244,110.06,72.48,1.15,2,2îﬂ,9
-49.88282717,211.16,69.03,1.01,2,2îﬂ,10
-34.80099699,47.96,64.32,0.83,2,2îﬂ,11
29.46161801,177,68.52,0.87,2,2îﬂ,12
-33.70929309,21,75.25,1.18,2,2îﬂ,13
-30.90818275,102.51,74.57,1.12,2,2îﬂ,14
-70.48378038,51,65.7,1.52,2,2îﬂ,15
-91.60418903,143.54,72.78,1.05,2,2îﬂ,16
-96.01479227,123.31,72.25,1.21,2,2îﬂ,17
63.11943533,164.76,74.38,0.97,3,3ã¡,1
13.97467786,61.38,70.86,0.96,3,3ã¡,2
18.75054897,63.6,76,0.97,3,3ã¡,3
118.1211973,72,73.52,0.88,3,3ã¡,4
56.76058072,35.2,70.92,0.93,3,3ã¡,5
71.20734343,201.59,74.16,0.78,3,3ã¡,6
50.62921217,244.7,77.22,0.87,3,3ã¡,7
19.1176378,74.91,76.57,0.88,3,3ã¡,8
58.94831928,219,76,0.87,3,3ã¡,9
15.07261467,45.89,71.27,0.87,3,3ã¡,10
80.04502162,236.58,70.8,0.85,3,3ã¡,11
-8.673510878,9.54,69.92,0.94,3,3ã¡,12
45.66182282,121.02,75.29,0.92,3,3ã¡,13
29.90625789,117,78.72,0.91,3,3ã¡,14
38.35715691,102.02,74.41,1.13,3,3ã¡,15
76.55264879,83,76.91,0.8,3,3ã¡,16
49.73609186,105,76.52,1.03,3,3ã¡,17
63.11943533,164.76,74.38,0.85,4,4ã∞,1
-15.92680786,56.54,71.84,1.18,4,4ã∞,2
35.73790299,116,77.69,1.17,4,4ã∞,3
-48.4179893,42,75.28,0.86,4,4ã∞,4
29.60316629,42.2,69.55,0.98,4,4ã∞,5
-68.68277316,119,77.7,1.11,4,4ã∞,6
-55.26195642,63,76.93,1,4,4ã∞,7
-11.74992909,64.01,76.38,1.36,4,4ã∞,8
-48.24412162,30,68.84,1.28,4,4ã∞,9
-19.3608824,74.71,68.48,1.2,4,4ã∞,10
-35.97344325,93.93,60.49,1.27,4,4ã∞,11
-7.385965018,2,66.39,1.08,4,4ã∞,12
33.29739541,112.69,76.23,1.06,4,4ã∞,13
-16.91264818,106,73.63,1.11,4,4ã∞,14
64.33109162,108,75.98,1,4,4ã∞,15
-10.97338126,245.85,77.43,0.88,4,4ã∞,16
-42.43375207,111.99,72.32,1.08,4,4ã∞,17
-48.66613463,50,73.64,1.1,5,5à¿,1
-9.646018483,54.26,73.51,0.92,5,5à¿,2
-81.04669562,24.75,75.76,1.8,5,5à¿,3
-100.4796449,91.2,74.34,1.33,5,5à¿,4
10.05259553,57.13,70.58,0.9,5,5à¿,5
36.09820297,220,74.88,1.2,5,5à¿,6
-17.54229047,215,72.69,1.16,5,5à¿,7
-9.256073605,67,69.97,1.4,5,5à¿,8
-31.52076403,115,70.77,1.3,5,5à¿,9
-29.85325621,152.85,69.09,1.1,5,5à¿,10
-39.49650981,117,63.04,1.01,5,5à¿,11
-25.51702104,21,66.65,1.05,5,5à¿,12
-32.52724055,106.82,76.25,1.01,5,5à¿,13
-12.2774794,151,74.27,1.19,5,5à¿,14
-47.54291649,59,65.83,1.45,5,5à¿,15
-12.04801449,100,75.2,1.21,5,5à¿,16
12.84868343,138,73.82,1.18,5,5à¿,17
-26.07712286,134.21,73.46,0.95,6,6ì{,1
9.033936585,50.74,69.62,0.82,6,6ì{,2
107.5051632,188.5,76.06,0.89,6,6ì{,3
8.867751322,85,79.59,0.58,6,6ì{,4
28.46043748,102.06,73.76,0.96,6,6ì{,5
21.58741485,116,79.04,0.8,6,6ì{,6
-4.800621583,154.84,75.6,1.21,6,6ì{,7
-0.561372052,75,76.02,0.97,6,6ì{,8
12.56326505,100.17,74.37,0.71,6,6ì{,9
50.91781361,178.72,73.03,0.81,6,6ì{,10
38.3203391,84.87,69.67,0.72,6,6ì{,11
10.52005435,54,70.61,1.06,6,6ì{,12
-28.98688285,135.31,74.32,1.04,6,6ì{,13
-4.201596432,153.07,76.16,0.83,6,6ì{,14
49.03943967,66,76.58,0.83,6,6ì{,15
-29.35191057,185.57,77.97,0.86,6,6ì{,16
33.19395274,288.04,73.62,0.88,6,6ì{,17
